,序列,书名,作者,仙草,粮草,干草,枯草,毒草
5475,12077,不灭龙帝,妖夜,17,4,3,2,105
5476,12078,自然大玩家,青幕山,19,3,1,1,30
5477,12080,最强大昏君系统,玉龙三太子,2,0,0,0,9
5478,12081,战国大司马,贱宗首席弟子,3,1,0,1,4
5479,12082,化谍飞,发呆熊猫,6,2,2,1,2
5480,12083,海贼之大将赤犬,雪榭,1,0,2,0,7
5481,12084,食戟之我有万界食材,打芒果,1,0,0,0,9
5482,12085,主宰星河,枫叶12号,3,0,0,0,12
5483,12086,我的美女老师,陈庆之喝蔬菜汁,3,0,0,3,14
5484,12087,神血战士,银霜骑士,1,0,0,0,10
5485,12088,狩魔领主,死翼耐萨里奥,35,4,2,2,11
5486,12089,从超神学院开始的穿越日常,我步入地狱,2,0,0,1,10
5487,12090,木叶的上下五十年,倾鸦,2,0,0,4,9
5488,12091,极品透视保镖,秦长青,3,0,0,1,9
5489,12092,流金时代,坤华,3,1,0,0,2
5490,12093,世界第一第二第三都是我,大头文,1,1,2,1,9
5491,12094,异世之召唤亿万神魔,无敌皇上,2,1,0,1,23
5492,12095,美漫之最终执行官,狂小子唐天,5,1,1,0,8
5493,12096,都市超级医仙,南极海,4,0,1,1,24
5494,12097,我的玉雕不正常,洛俞,8,2,1,0,15
5495,12098,神级卡徒,请叫我小佳佳,26,3,2,2,119
5496,12099,天命神相,西域刀客,5,0,0,1,15
5497,12100,美食猎人,紫蓝色的猪,11,2,1,0,5
5498,12102,回到古代当匠神,王不过霸,3,1,0,0,9
5499,12103,隋唐大猛士,木子蓝色,9,2,3,2,4
5500,12109,文娱不朽,潇潇清枫,4,0,0,0,3
5501,12110,我的女儿有个系统,花开六十三,1,0,0,0,4
5502,12111,氪金不朽,猛虎道长,2,0,0,0,5
5503,12112,位面复制大师,千翠百恋,5,0,0,0,3
5504,12113,大唐第一少,墨青空,4,0,0,1,12
5505,12114,青春日常物语,银河星光灿烂,1,0,1,0,7
5506,12115,足坛大赢家,就叫小新,1,0,1,0,5
5507,12116,最后一个剑圣,月之吟,1,0,0,0,5
5508,12118,都市最强地师,岱岳峰,1,0,0,0,4
5509,12119,卧底天工,田十,2,1,0,0,6
