,序列,书名,作者,仙草,粮草,干草,枯草,毒草
436,1918,王朝之剑,边城 浪子,63,5,5,1,9
437,1919,天行健,燕垒生,171,7,2,2,9
438,1923,纸神,君不见,73,6,1,3,8
439,1924,史上第一混乱,张小花,543,17,12,19,47
440,1925,异世雷皇,逍耳钉,32,4,1,2,8
441,1931,暗黑之不朽意志,剑扼虚空,41,2,2,5,30
442,1932,皇家娱乐指南,贼道三痴,368,8,2,20,19
443,1933,横行在异世,冰原三雅,40,6,2,6,8
444,1934,小仙有毒(绝世好毒),豆子惹的祸,99,5,2,5,5
445,1935,善良的死神,唐家三少,172,15,8,11,107
446,1936,活色生枭,豆子惹的祸,84,3,6,6,10
447,1937,超级宠物制造池,鹏飞超人,106,5,3,2,24
448,1940,人道天堂,荆柯守,34,5,3,3,3
449,1941,极品颠覆之叶河图,洛水河图,31,8,3,4,12
450,1945,宋时行,庚新,69,5,6,6,13
451,1946,空速星痕,唐家三少,179,11,7,12,58
452,1947,唐朝小地主,烛,56,9,3,4,7
453,1948,拣宝,烛,125,14,1,3,7
454,1949,大唐风流,摘新桃,33,5,3,4,17
455,1950,人欲,徐公子胜治,153,8,3,8,12
456,1953,香色倾城,常书欣,125,9,1,5,7
457,1954,天王,跳舞,133,10,8,10,18
458,1955,大宋金手指,圣者晨雷,67,8,4,3,3
459,1956,天界,落拓少年,32,2,2,2,5
460,1957,极品财俊,付麒麟,33,2,1,4,10
461,1958,在修真文明的悠闲生活,没落的游吟诗人,27,2,3,2,49
462,1959,盛唐烟云,酒徒,98,4,4,5,6
463,1960,风临异世,蓝领笑笑生,90,6,5,3,19
464,1961,将神,李雪夜,25,2,3,6,6
465,1962,很纯很暧昧前传(重生追美记),鱼人二代,184,15,10,9,56
466,1963,仙佛录,帝国上将,33,5,1,0,7
467,1964,仙执,高钙奶宝,19,5,5,5,16
468,1968,神游,徐公子胜治,290,10,10,8,20
469,1969,纨绔疯子,鹅是老五,87,8,3,7,16
470,1970,大明王侯,贼眉鼠眼,126,5,4,2,25
471,1971,异界炼金狂潮,写文,33,5,3,2,11
472,1972,情与血,兰帝魅晨,83,10,10,10,10
473,1973,大唐万户侯,高月,81,8,4,3,8
474,1974,全职业天才,疯狂小马甲,24,1,2,2,10
475,1978,上品寒士,贼道三痴,591,17,13,21,21
476,1979,九龙法师,神降之年,30,2,3,3,7
477,1980,地藏曲,枫舞邀雪,21,4,3,1,3
478,1981,X一龙时代,云天空,108,11,10,4,8
479,1982,丹警,静夜寄思,40,2,4,2,13
480,1983,天才,流浪的龙,22,5,3,2,12
481,1985,老婆爱上我,傲无常,119,6,3,4,13
482,1986,野蛮金刚,浮生01,32,6,4,4,5
483,1987,朱雀记,猫腻,166,13,9,11,16
484,1988,网游之帝王归来,妖邪有泪,25,0,1,1,11
485,1989,异体,风上忍,91,6,7,6,16
486,1993,变脸武士,跳舞,106,11,8,7,10
487,1994,仙门,四不相,26,1,1,1,18
488,1995,天唐,格鱼,43,2,3,3,9
489,1996,生死轮回诀,朝楚,20,2,2,3,7
490,1997,神偷化身,蚕茧里的牛,33,5,4,3,10
491,1998,皇族,高月,63,6,4,2,13
492,1999,在北宋的幸福生活,烛,30,6,2,2,7
493,2000,mm都在天上飞,先飞看刀,58,4,2,3,12
494,2001,独闯天涯,蝴蝶蓝,183,9,6,6,8
495,2002,山渐青,何昊远,36,3,2,3,2
496,2003,武林高手在校园,墨武,153,6,2,4,8
497,2004,最强游戏分身,一粒灰尘哟,40,1,3,3,27
498,2005,装神弄诡,飞飞语,25,1,5,1,9
499,2006,星神祭,乘风御剑,32,10,10,10,11
